sim/operation/quit                                 Quit X-Plane.
sim/pressurization/aircond_off                     Air conditioning off.
sim/pressurization/heater_on                       Electric heater on.
sim/pressurization/heater_grd_max                  Electric heater on ground max.
sim/pressurization/heater_off                      Electric heater off.
sim/pressurization/fan_auto                        Vent fan auto (on only with AC or heat).
sim/pressurization/fan_low                         Vent fan on low.
sim/pressurization/fan_high                        Vent fan high.
sim/pressurization/fan_up                          Vent fan setting up.
sim/pressurization/fan_down                        Vent fan setting down.
sim/ice/alternate_static_port                      Toggle alternate static port.
sim/ice/pitot_heat0_on                             Anti-ice: left pitot heat on.
sim/ice/pitot_heat1_on                             Anti-ice: right pitot heat on.
sim/ice/pitot_heat0_off                            Anti-ice: left pitot heat off.
sim/ice/pitot_heat1_off                            Anti-ice: right pitot heat off.
sim/ice/static_heat0_on                            Anti-ice: left static heat on.
sim/ice/static_heat1_on                            Anti-ice: right static heat on.
sim/ice/static_heat0_off                           Anti-ice: left static heat off.
sim/ice/static_heat1_off                           Anti-ice: right static heat off.
sim/ice/AOA_heat0_on                               Anti-ice: AOA on.
sim/ice/AOA_heat1_on                               Anti-ice: AOA on.
sim/ice/AOA_heat0_off                              Anti-ice: AOA off.
sim/ice/AOA_heat1_off                              Anti-ice: AOA off.
sim/ice/window_heat_on                             Anti-ice: window heat on.
sim/ice/window_heat_off                            Anti-ice: window heat off.
sim/ice/window2_heat_on                            Anti-ice: window 2 heat on.
sim/ice/window2_heat_off                           Anti-ice: window 2 heat off.
sim/ice/window3_heat_on                            Anti-ice: window 3 heat on.
sim/ice/window3_heat_off                           Anti-ice: window 3 heat off.
sim/ice/window4_heat_on                            Anti-ice: window 4 heat on.
sim/ice/window4_heat_off                           Anti-ice: window 4 heat off.
sim/ice/wing_heat_on                               Anti-ice: all wing, anti-ice heat on.
sim/ice/wing_heat0_on                              Anti-ice: left wing, anti-ice heat on.
sim/ice/wing_heat1_on                              Anti-ice: right wing, anti-ice heat on.
sim/ice/wing_heat_off                              Anti-ice: all wing, anti-ice heat off.
sim/ice/wing_heat0_off                             Anti-ice: left wing, anti-ice heat off.
sim/ice/wing_heat1_off                             Anti-ice: right wing, anti-ice heat off.
sim/ice/wing_heat_tog                              Anti-ice: all wing, anti-ice heat toggle.
sim/ice/wing_heat0_tog                             Anti-ice: left wing, anti-ice heat toggle.
sim/ice/wing_heat1_tog                             Anti-ice: right wing, anti-ice heat toggle.
sim/ice/tail_heat_on                               Anti-ice: all tail, anti-ice heat on.
sim/ice/tail_heat0_on                              Anti-ice: left tail, anti-ice heat on.
sim/ice/tail_heat1_on                              Anti-ice: right tail, anti-ice heat on.
sim/ice/tail_heat_off                              Anti-ice: all tail, anti-ice heat off.
sim/ice/tail_heat0_off                             Anti-ice: left tail, anti-ice heat off.
sim/ice/tail_heat1_off                             Anti-ice: right tail, anti-ice heat off.
sim/ice/tail_heat_tog                              Anti-ice: all tail, anti-ice heat toggle.
sim/ice/tail_heat0_tog                             Anti-ice: left tail, anti-ice heat toggle.
sim/ice/tail_heat1_tog                             Anti-ice: right tail, anti-ice heat toggle.
sim/ice/wing_boot_on                               Anti-ice: all wing, de-icing boots on schedule.
sim/ice/wing_boot0_on                              Anti-ice: left wing, de-icing boots on schedule.
sim/ice/wing_boot1_on                              Anti-ice: right wing, de-icing boots on schedule.
sim/ice/wing_boot_off                              Anti-ice: all wing, de-icing boots off.
sim/ice/wing_boot0_off                             Anti-ice: left wing, de-icing boots off.
sim/ice/wing_boot1_off                             Anti-ice: right wing, de-icing boots off.
sim/ice/wing_boot_tog                              Anti-ice: all wing, de-icing boots toggle.
sim/ice/wing_boot0_tog                             Anti-ice: left wing, de-icing boots toggle.
sim/ice/wing_boot1_tog                             Anti-ice: right wing, de-icing boots toggle.
sim/ice/wing_boot_single                           Anti-ice: all wing, de-icing boots single auto.
sim/ice/wing_boot0_single                          Anti-ice: left wing, de-icing boots single auto.
sim/ice/wing_boot1_single                          Anti-ice: right wing, de-icing boots single auto.
sim/ice/wing_boot_man                              Anti-ice: all wing, de-icing boots manual.
sim/ice/wing_boot0_man                             Anti-ice: left wing, de-icing boots manual.
sim/ice/wing_boot1_man                             Anti-ice: right wing, de-icing boots manual.
